sps 100000
-0.1995815 -0.7983261 0
-0.1996157 -0.7984627 0
-0.1996484 -0.7985935 0
-0.1996796 -0.7987184 0
-0.1997094 -0.7988376 0
-0.1997377 -0.7989509 0
-0.1997646 -0.7990584 0
-0.1997900 -0.7991601 0
-0.1998140 -0.7992560 0
-0.1998365 -0.7993461 0
-0.1998576 -0.7994304 0
-0.1998772 -0.7995089 0
-0.1998954 -0.7995815 0
-0.1999121 -0.7996484 0
-0.1999273 -0.7997094 0
-0.1999412 -0.7997646 0
-0.1999535 -0.7998140 0
-0.1999644 -0.7998576 0
-0.1999739 -0.7998954 0
-0.1999818 -0.7999274 0
-0.1999884 -0.7999535 0
-0.1999935 -0.7999739 0
-0.1999971 -0.7999884 0
-0.1999993 -0.7999971 0
-0.2000000 -0.8000000 0
-0.2000000 -0.7999918 0
-0.2000000 -0.7999672 0
-0.2000000 -0.7999262 0
-0.2000000 -0.7998689 0
-0.2000000 -0.7997952 0
-0.2000000 -0.7997051 0
-0.2000000 -0.7995986 0
-0.2000000 -0.7994757 0
-0.2000000 -0.7993364 0
-0.2000000 -0.7991807 0
-0.2000000 -0.7990086 0
-0.2000000 -0.7988202 0
-0.2000000 -0.7986153 0
-0.2000000 -0.7983941 0
-0.2000000 -0.7981565 0
-0.2000000 -0.7979025 0
-0.2000000 -0.7976322 0
-0.2000000 -0.7973454 0
-0.2000000 -0.7970423 0
-0.2000000 -0.7967227 0
-0.2000000 -0.7963868 0
-0.2000000 -0.7960345 0
-0.2000000 -0.7956657 0
-0.2000000 -0.7952806 0
-0.2000000 -0.7948792 0
-0.2000000 -0.7944614 0
-0.2000000 -0.7940271 0
-0.2000000 -0.7935765 0
-0.2000000 -0.7931095 0
-0.2000000 -0.7926261 0
-0.2000000 -0.7921263 0
-0.2000000 -0.7916101 0
-0.2000000 -0.7910776 0
-0.2000000 -0.7905285 0
-0.2000000 -0.7899632 0
-0.2000000 -0.7893815 0
-0.2000000 -0.7887834 0
-0.2000000 -0.7881689 0
-0.2000000 -0.7875380 0
-0.2000000 -0.7868907 0
-0.2000000 -0.7862271 0
-0.2000000 -0.7855470 0
-0.2000000 -0.7848506 0
-0.2000000 -0.7841378 0
-0.2000000 -0.7834086 0
-0.2000000 -0.7826630 0
-0.2000000 -0.7819011 0
-0.2000000 -0.7811227 0
-0.2000000 -0.7803279 0
-0.2000000 -0.7795168 0
-0.2000000 -0.7786893 0
-0.2000000 -0.7778454 0
-0.2000000 -0.7769851 0
-0.2000000 -0.7761084 0
-0.2000000 -0.7752153 0
-0.2000000 -0.7743059 0
-0.2000000 -0.7733800 0
-0.2000000 -0.7724378 0
-0.2000000 -0.7714792 0
-0.2000000 -0.7705042 0
-0.2000000 -0.7695128 0
-0.2000000 -0.7685050 0
-0.2000000 -0.7674809 0
-0.2000000 -0.7664403 0
-0.2000000 -0.7653834 0
-0.2000000 -0.7643101 0
-0.2000000 -0.7632204 0
-0.2000000 -0.7621143 0
-0.2000000 -0.7609918 0
-0.2000000 -0.7598529 0
-0.2000000 -0.7586977 0
-0.2000000 -0.7575261 0
-0.2000000 -0.7563381 0
-0.2000000 -0.7551336 0
-0.2000000 -0.7539128 0
-0.2000000 -0.7526757 0
-0.2000000 -0.7514220 0
-0.2000000 -0.7501521 0
-0.2000000 -0.7488658 0
-0.2000000 -0.7475631 0
-0.2000000 -0.7462439 0
-0.2000000 -0.7449084 0
-0.2000000 -0.7435565 0
-0.2000000 -0.7421883 0
-0.2000000 -0.7408035 0
-0.2000000 -0.7394025 0
-0.2000000 -0.7379851 0
-0.2000000 -0.7365512 0
-0.2000000 -0.7351010 0
-0.2000000 -0.7336345 0
-0.2000000 -0.7321514 0
-0.2000000 -0.7306521 0
-0.2000000 -0.7291363 0
-0.2000000 -0.7276042 0
-0.2000000 -0.7260556 0
-0.2000000 -0.7244908 0
-0.2000000 -0.7229094 0
-0.2000000 -0.7213117 0
-0.2000000 -0.7196977 0
-0.2000000 -0.7180672 0
-0.2000000 -0.7164204 0
-0.2000000 -0.7147571 0
-0.2000000 -0.7130775 0
-0.2000000 -0.7113815 0
-0.2000000 -0.7096691 0
-0.2000000 -0.7079403 0
-0.2000000 -0.7061952 0
-0.2000000 -0.7044336 0
-0.2000000 -0.7026557 0
-0.2000000 -0.7008614 0
-0.2000000 -0.6990506 0
-0.2000000 -0.6972235 0
-0.2000000 -0.6953800 0
-0.2000000 -0.6935202 0
-0.2000000 -0.6916439 0
-0.2000000 -0.6897513 0
-0.2000000 -0.6878422 0
-0.2000000 -0.6859168 0
-0.2000000 -0.6839749 0
-0.2000000 -0.6820168 0
-0.2000000 -0.6800422 0
-0.2000000 -0.6780512 0
-0.2000000 -0.6760439 0
-0.2000000 -0.6740202 0
-0.2000000 -0.6719800 0
-0.2000000 -0.6699235 0
-0.2000000 -0.6678506 0
-0.2000000 -0.6657613 0
-0.2000000 -0.6636556 0
-0.2000000 -0.6615335 0
