sps 100000
-0.9869107 -0.9869107 0
-0.9875975 -0.9875975 0
-0.9882660 -0.9882660 0
-0.9889159 -0.9889159 0
-0.9895473 -0.9895473 0
-0.9901602 -0.9901602 0
-0.9907546 -0.9907546 0
-0.9913305 -0.9913305 0
-0.9918880 -0.9918880 0
-0.9924270 -0.9924270 0
-0.9929474 -0.9929474 0
-0.9934493 -0.9934493 0
-0.9939327 -0.9939327 0
-0.9943976 -0.9943976 0
-0.9948441 -0.9948441 0
-0.9952720 -0.9952720 0
-0.9956814 -0.9956814 0
-0.9960723 -0.9960723 0
-0.9964447 -0.9964447 0
-0.9967987 -0.9967987 0
-0.9971341 -0.9971341 0
-0.9974509 -0.9974509 0
-0.9977495 -0.9977495 0
-0.9980294 -0.9980294 0
-0.9982899 -0.9982899 0
-0.9985320 -0.9985320 0
-0.9987556 -0.9987556 0
-0.9989608 -0.9989608 0
-0.9991474 -0.9991474 0
-0.9993155 -0.9993155 0
-0.9994651 -0.9994651 0
-0.9995962 -0.9995962 0
-0.9997088 -0.9997088 0
-0.9998029 -0.9998029 0
-0.9998785 -0.9998785 0
-0.9999357 -0.9999357 0
-0.9999743 -0.9999743 0
-0.9999944 -0.9999944 0
-1.0000000 -0.9999887 8
-1.0000000 -0.9999411 8
-1.0000000 -0.9998415 8
-1.0000000 -0.9996897 8
-1.0000000 -0.9994860 8
-1.0000000 -0.9992301 8
-1.0000000 -0.9989221 8
-1.0000000 -0.9985621 8
-1.0000000 -0.9981500 8
-1.0000000 -0.9976858 8
-1.0000000 -0.9971695 8
-1.0000000 -0.9965989 8
-1.0000000 -0.9959761 8
-1.0000000 -0.9953013 8
-1.0000000 -0.9945745 8
-1.0000000 -0.9937955 8
-1.0000000 -0.9929644 8
-1.0000000 -0.9920813 8
-1.0000000 -0.9911461 8
-1.0000000 -0.9901588 8
-1.0000000 -0.9891195 8
-1.0000000 -0.9880280 8
-1.0000000 -0.9868845 8
-1.0000000 -0.9856888 8
-1.0000000 -0.9844411 8
-1.0000000 -0.9831413 8
-1.0000000 -0.9817895 8
-1.0000000 -0.9803855 8
-1.0000000 -0.9789295 8
-1.0000000 -0.9774214 8
-1.0000000 -0.9758612 8
-1.0000000 -0.9742489 8
-1.0000000 -0.9725846 8
-1.0000000 -0.9708681 8
-1.0000000 -0.9690996 8
-1.0000000 -0.9672790 8
-1.0000000 -0.9654041 8
-1.0000000 -0.9634771 8
-1.0000000 -0.9614979 8
-1.0000000 -0.9594667 8
-1.0000000 -0.9573835 8
-1.0000000 -0.9552481 8
-1.0000000 -0.9530607 8
-1.0000000 -0.9508211 8
-1.0000000 -0.9485295 8
-1.0000000 -0.9461859 8
